Team,GF60,GA60,CF%,Sh%,Sv%,OZFO%,DZFO%,NZFO%,PP%,PK%,Playoffs
Toronto,2.46,3.09,46.7,8.56,90.65,31.7,36.8,31.6,15.9,80.5,No
Vancouver,2.84,2.62,49.1,9.62,91.11,33.0,35.0,32.0,18.9,85.7,Yes
Washington,2.84,2.39,50.7,9.8,91.59,34.8,32.4,32.7,25.3,81.2,Yes
Winnipeg,2.66,2.44,51.8,9.11,91.32,34.0,34.0,32.0,17.5,81.8,Yes
Anaheim,2.57,2.27,52.0,8.63,91.56,33.4,35.0,31.6,23.1,87.2,Yes
Arizona,2.52,2.94,47.6,9.19,90.43,33.0,34.7,32.3,17.7,77.3,No
Boston,2.81,2.72,49.9,8.9,90.92,33.9,34.2,31.9,20.5,82.2,No
Buffalo,2.38,2.57,48.4,8.19,91.48,33.2,34.8,32.0,18.9,82.6,No
Calgary,2.75,3.07,49.1,9.52,89.29,33.9,33.6,32.5,17.0,75.5,No
Carolina,2.34,2.64,52.5,7.96,90.26,35.0,31.7,33.3,16.8,84.3,No
Chicago,2.8,2.5,50.3,9.29,91.81,33.9,32.5,33.6,22.6,80.3,Yes
Colorado,2.57,2.89,45.1,9.04,90.98,32.8,35.1,32.2,18.0,80.2,No
Columbus,2.55,2.98,47.6,8.89,90.26,32.4,35.4,32.2,17.3,81.0,No
Dallas,3.2,2.74,52.2,10.09,90.42,34.4,32.5,33.1,22.1,82.3,Yes
Detroit,2.51,2.63,51.3,8.59,91.02,35.8,32.4,31.8,18.8,81.5,Yes
Edmonton,2.4,2.92,48.5,8.35,90.5,32.3,35.2,32.5,18.1,81.1,No
Florida,2.78,2.41,49.1,9.8,91.72,32.9,35.1,32.0,16.9,79.5,Yes
Los Angeles,2.67,2.31,55.0,8.47,91.49,37.5,32.3,30.2,20.0,81.4,Yes
Minnesota,2.57,2.46,49.0,8.98,91.3,34.9,32.9,32.2,18.5,77.9,Yes
Montreal,2.61,2.8,51.4,8.65,90.36,32.9,34.7,32.4,16.2,81.9,No
Nashville,2.69,2.55,52.0,8.9,90.54,35.0,33.1,31.9,19.7,81.2,Yes
New Jersey,2.19,2.43,45.9,9.08,91.38,31.3,36.4,32.3,19.9,83.0,No
NY Islanders,2.72,2.53,49.3,9.42,91.54,34.5,33.2,32.3,18.3,84.5,Yes
NY Rangers,2.8,2.59,47.5,9.95,91.38,33.0,34.2,32.8,18.6,78.2,Yes
Ottawa,2.75,2.89,47.9,9.87,91.01,33.0,34.0,33.0,15.8,75.8,No
Philadelphia,2.53,2.5,51.0,8.3,91.7,34.5,33.4,32.1,18.9,80.5,Yes
Pittsburgh,2.9,2.37,52.4,8.85,91.9,34.9,33.1,32.0,18.4,84.4,Yes
San Jose,2.86,2.47,51.7,9.64,90.79,32.9,32.8,34.4,22.5,80.5,Yes
St. Louis,2.63,2.35,50.2,8.86,91.96,32.8,36.1,31.2,21.5,85.1,Yes
Tampa Bay,2.68,2.38,51.1,9.26,91.66,35.5,32.3,32.1,15.8,84.0,Yes
Toronto,2.31,2.88,52.5,7.64,90.41,34.7,34.3,31.0,15.4,81.6,No
Vancouver,2.22,2.85,47.5,8.01,91.07,34.1,34.5,31.3,15.8,81.1,No
Washington,2.99,2.3,50.6,9.89,91.81,34.1,33.2,32.7,21.9,85.2,Yes
Winnipeg,2.55,2.85,50.5,8.69,90.26,33.6,33.2,33.2,14.8,78.4,No
